Team                     Played     Won   Drawn    Lost      GS      GA      GD  Points
Netherlands                   7       6       0       1      12       6       6      18
Spain                         7       6       0       1       8       2       6      18
Germany                       7       5       0       2      16       5      11      15
Argentina                     5       4       0       1      10       6       4      12
Uruguay                       7       3       2       2      11       8       3      11
Brazil                        5       3       1       1       9       4       5      10
Ghana                         5       2       2       1       5       4       1       8
Japan                         4       2       1       1       4       2       2       7
Chile                         4       2       0       2       3       5      -2       6
Paraguay                      5       1       3       1       3       2       1       6
Portugal                      4       1       2       1       7       1       6       5
USA                           4       1       2       1       5       5       0       5
England                       4       1       2       1       3       5      -2       5
Ivory Coast                   3       1       1       1       4       3       1       4
Slovenia                      3       1       1       1       3       3       0       4
Switzerland                   3       1       1       1       1       1       0       4
South Africa                  3       1       1       1       3       5      -2       4
Australia                     3       1       1       1       3       6      -3       4
Mexico                        4       1       1       2       4       5      -1       4
Korea Republic                4       1       1       2       6       8      -2       4
Slovakia                      4       1       1       2       5       7      -2       4
New Zealand                   3       0       3       0       2       2       0       3
Serbia                        3       1       0       2       2       3      -1       3
Denmark                       3       1       0       2       3       6      -3       3
Greece                        3       1       0       2       2       5      -3       3
Italy                         3       0       2       1       4       5      -1       2
Nigeria                       3       0       1       2       3       5      -2       1
Algeria                       3       0       1       2       0       2      -2       1
France                        3       0       1       2       1       4      -3       1
Honduras                      3       0       1       2       0       3      -3       1
Cameroon                      3       0       0       3       2       5      -3       0
Korea DPR                     3       0       0       3       1      12     -11       0
